scene,kind,value,count
s1_stable_20,geom_q8,0,156
s1_stable_20,geom_q8,137,2
s1_stable_20,geom_q8,177,26
s1_stable_20,geom_q8,191,2
s1_stable_20,geom_q8,199,28
s1_stable_20,geom_q8,202,4
s1_stable_20,geo_slack_q8,0,31
s1_stable_20,geo_slack_q8,32,156
s1_stable_20,geo_slack_q8,338,1
s1_stable_20,geo_slack_q8,418,13
s1_stable_20,geo_slack_q8,446,1
s1_stable_20,geo_slack_q8,462,14
s1_stable_20,geo_slack_q8,468,2
s1_stable_40,geom_q8,0,1056
s1_stable_40,geom_q8,137,2
s1_stable_40,geom_q8,177,66
s1_stable_40,geom_q8,191,2
s1_stable_40,geom_q8,199,68
s1_stable_40,geom_q8,202,4
s1_stable_40,geo_slack_q8,0,71
s1_stable_40,geo_slack_q8,32,1056
s1_stable_40,geo_slack_q8,338,1
s1_stable_40,geo_slack_q8,418,33
s1_stable_40,geo_slack_q8,446,1
s1_stable_40,geo_slack_q8,462,34
s1_stable_40,geo_slack_q8,468,2
s2_disturb_20,geom_q8,0,306
s2_disturb_20,geom_q8,133,36
s2_disturb_20,geom_q8,165,36
s2_disturb_20,geom_q8,186,2
s2_disturb_20,geo_slack_q8,0,19
s2_disturb_20,geo_slack_q8,32,306
s2_disturb_20,geo_slack_q8,144,18
s2_disturb_20,geo_slack_q8,250,18
s2_disturb_20,geo_slack_q8,330,18
s2_disturb_20,geo_slack_q8,436,1
s2_disturb_40,geom_q8,0,1406
s2_disturb_40,geom_q8,133,76
s2_disturb_40,geom_q8,165,76
s2_disturb_40,geom_q8,186,2
s2_disturb_40,geo_slack_q8,0,39
s2_disturb_40,geo_slack_q8,32,1406
s2_disturb_40,geo_slack_q8,144,38
s2_disturb_40,geo_slack_q8,250,38
s2_disturb_40,geo_slack_q8,330,38
s2_disturb_40,geo_slack_q8,436,1
s3_rootloss_20,geom_q8,0,156
s3_rootloss_20,geom_q8,163,2
s3_rootloss_20,geom_q8,168,28
s3_rootloss_20,geom_q8,193,2
s3_rootloss_20,geom_q8,196,2
s3_rootloss_20,geom_q8,217,2
s3_rootloss_20,geom_q8,220,26
s3_rootloss_20,geo_slack_q8,0,31
s3_rootloss_20,geo_slack_q8,32,156
s3_rootloss_20,geo_slack_q8,390,1
s3_rootloss_20,geo_slack_q8,400,14
s3_rootloss_20,geo_slack_q8,450,1
s3_rootloss_20,geo_slack_q8,456,1
s3_rootloss_20,geo_slack_q8,498,1
s3_rootloss_20,geo_slack_q8,504,13
s3_rootloss_40,geom_q8,0,1056
s3_rootloss_40,geom_q8,163,2
s3_rootloss_40,geom_q8,168,68
s3_rootloss_40,geom_q8,193,2
s3_rootloss_40,geom_q8,196,2
s3_rootloss_40,geom_q8,217,2
s3_rootloss_40,geom_q8,220,66
s3_rootloss_40,geo_slack_q8,0,71
s3_rootloss_40,geo_slack_q8,32,1056
s3_rootloss_40,geo_slack_q8,390,1
s3_rootloss_40,geo_slack_q8,400,34
s3_rootloss_40,geo_slack_q8,450,1
s3_rootloss_40,geo_slack_q8,456,1
s3_rootloss_40,geo_slack_q8,498,1
s3_rootloss_40,geo_slack_q8,504,33
