parameter,scene,pdr,dpdr_pp,avg_delay_ms,ddelay_ms,recov_ms,drecov_pct,gate_cmp,dgate_cmp_pct,gate_sw,dgate_sw_pct,gate_fallback,dfallback
tau=160,Temporary Root Displacement,0.993969,0.030,36.98,-2.51,151224,+4.9,542163,-73.8,41.0,-40.9,2.8,-5.9
tau=160,Root-Loss,0.728392,-1.458,205.50,+14.12,214086,+10.1,212405,-71.3,667.5,-28.1,75.7,-419.7
tau=160,Local Failure,0.995431,0.230,121.39,-3.39,162281,+5.2,714622,+0.9,197.6,+9.1,28.0,-6.6
tau=224,Temporary Root Displacement,0.993370,-0.030,38.48,-1.00,142285,-1.3,2073125,+0.2,74.8,+7.8,10.0,+1.3
tau=224,Root-Loss,0.749207,0.623,201.69,+10.31,180539,-7.1,740411,+0.1,876.8,-5.6,480.0,-15.4
tau=224,Local Failure,0.995431,0.230,121.42,-3.37,162283,+5.2,713833,+0.8,198.0,+9.3,28.5,-6.1
Tmid=64,Temporary Root Displacement,0.992165,-0.150,39.74,+0.25,143905,-0.2,1474749,-28.7,72.5,+4.5,10.8,+2.1
Tmid=64,Root-Loss,0.750350,0.738,240.09,+48.71,197475,+1.6,579880,-21.6,977.6,+5.3,506.0,+10.6
Tmid=64,Local Failure,0.990816,-0.232,121.67,-3.12,153196,-0.7,548947,-22.5,294.0,+62.3,27.6,-7.0
Tmid=128,Temporary Root Displacement,0.994571,0.090,39.14,-0.35,147363,+2.2,2467449,+19.3,80.9,+16.6,12.8,+4.1
Tmid=128,Root-Loss,0.753357,1.039,222.47,+31.09,207168,+6.6,819464,+10.8,990.1,+6.6,491.4,-4.0
Tmid=128,Local Failure,0.995384,0.225,120.76,-4.02,163230,+5.8,777252,+9.8,236.7,+30.7,25.9,-8.8
Kreserve=1,Temporary Root Displacement,0.992764,-0.091,39.87,+0.38,132278,-8.3,2069250,+0.0,72.1,+3.9,21.8,+13.1
Kreserve=1,Root-Loss,0.750723,0.775,162.81,-28.57,186310,-4.2,715402,-3.3,941.4,+1.4,502.7,+7.3
Kreserve=1,Local Failure,0.995408,0.227,122.22,-2.57,153454,-0.5,710189,+0.3,201.7,+11.4,32.3,-2.4
Kreserve=3,Temporary Root Displacement,0.992749,-0.092,39.03,-0.46,151162,+4.8,2078952,+0.5,74.0,+6.6,10.2,+1.5
Kreserve=3,Root-Loss,0.746294,0.332,141.74,-49.64,205278,+5.6,774770,+4.7,938.9,+1.1,527.4,+32.0
Kreserve=3,Local Failure,0.995454,0.232,122.41,-2.38,152585,-1.1,718337,+1.4,188.1,+3.9,20.5,-14.1
