variant,scene,metric,metric_label,n,exact_mean,exact_sd,variant_mean,variant_sd,paired_difference_mean,paired_difference_ci95,delta_vs_exact,delta_unit,better_direction
noise05,Disturbance,pdr,PDR,20,0.99366925,0.0023729608836352703,0.9936526999999999,0.0023902861334995137,-1.6549999999998512e-05,0.0008591834520629077,-0.0016550000000004061,pp,higher
noise05,Disturbance,avg_delay_ms,Avg. delay (ms),20,39.4867,4.7780407468906505,41.0604,5.552085311417969,1.5737000000000005,2.1136534378640524,3.9853925498965532,%,lower
noise05,Disturbance,p95_delay_ms,P95 delay (ms),20,73.5372,4.276751369168451,76.68719999999999,8.474010556121769,3.15,4.137540594933179,4.283546286777293,%,lower
noise05,Disturbance,recov_ms,Recovery (ms),20,144213.8744,17919.45859695686,140636.8792,18406.655535786573,-3576.995199999999,10562.006074404802,-2.4803405462075325,%,lower
noise05,Disturbance,gate_cmp,Comparisons,20,2068341.3,19024.71159501989,2189227.6,48126.21000463808,120886.3,20025.619884176074,5.844601178731964,%,lower
noise05,Disturbance,gate_sw,Parent switches,20,69.4,10.023131142249753,72.3,11.621667603865498,2.9,3.176040434582857,4.178674351585002,%,lower
noise05,Disturbance,control,Control messages,20,6505.85,38.87940193388836,6517.4,63.96824870281555,11.55,22.731141722315662,0.17753252841672143,%,lower
noise05,Root-Loss,pdr,PDR,20,0.74297205,0.01949022415003023,0.7460139499999999,0.012932853254914733,0.0030419000000000084,0.008601215071909647,0.3041899999999931,pp,higher
noise05,Root-Loss,avg_delay_ms,Avg. delay (ms),20,191.37995,169.43631961128764,157.17515,53.73681060627073,-34.20479999999999,73.25910571193323,-17.87271864163409,%,lower
noise05,Root-Loss,p95_delay_ms,P95 delay (ms),20,174.472,20.462551119442303,180.3488,24.853438575185656,5.8768,14.141931426603605,3.3683341739648784,%,lower
noise05,Root-Loss,recov_ms,Recovery (ms),20,194400.6984,28159.49288984603,184781.35,20265.488260777474,-9619.3484,16874.415934739147,-4.948206708705934,%,lower
noise05,Root-Loss,gate_cmp,Comparisons,20,739669.1,33093.71781360196,740436.1,24878.728531777797,767.0,15598.900529341905,0.10369501713671694,%,lower
noise05,Root-Loss,gate_sw,Parent switches,20,928.4,207.63084650661287,959.6,185.43161599502474,31.2,100.01860077952868,3.3606204222318015,%,lower
noise05,Root-Loss,control,Control messages,20,7878.6,1340.858617296748,7758.4,680.1502465593443,-120.2,521.7556620536596,-1.5256517655421105,%,lower
noise05,Local Failure,pdr,PDR,20,0.99313505,0.009249445391481606,0.9939275499999999,0.007630572072607892,0.000792499999999996,0.0015294342002370469,0.07924999999998628,pp,higher
noise05,Local Failure,avg_delay_ms,Avg. delay (ms),20,124.7853,11.764842352937572,124.13595000000001,11.393486539408569,-0.6493499999999983,1.6868098135088274,-0.5203737940286222,%,lower
noise05,Local Failure,p95_delay_ms,P95 delay (ms),20,165.42440000000002,15.664897232515226,165.37920000000003,14.531242948973956,-0.04519999999999911,2.9877732841060225,-0.02732365962941025,%,lower
noise05,Local Failure,recov_ms,Recovery (ms),20,154278.27,35708.32618484089,156443.28399999999,35401.583055742456,2165.0140000000006,19807.10050422601,1.4033175248853877,%,lower
noise05,Local Failure,gate_cmp,Comparisons,20,708180.8,11751.706391660298,717563.4,14512.870663111778,9382.6,7469.973347471596,1.324887655807666,%,lower
noise05,Local Failure,gate_sw,Parent switches,20,181.1,132.92415724369803,184.25,139.0345943319598,3.15,86.9708801248108,1.7393705135284405,%,lower
noise05,Local Failure,control,Control messages,20,3367.25,173.5368533588304,3339.15,166.1008808874262,-28.1,115.50353250100417,-0.8345088722251068,%,lower
noise10,Disturbance,pdr,PDR,20,0.99366925,0.0023729608836352703,0.9927583500000001,0.0031610441192245556,-0.0009108999999999978,0.0015565103171170328,-0.09108999999998257,pp,higher
noise10,Disturbance,avg_delay_ms,Avg. delay (ms),20,39.4867,4.7780407468906505,41.3772,5.731466163116325,1.8905000000000007,2.713213745796476,4.787688006341384,%,lower
noise10,Disturbance,p95_delay_ms,P95 delay (ms),20,73.5372,4.276751369168451,75.68879999999999,7.020946896702452,2.1516000000000006,3.4601129270216484,2.9258660922634907,%,lower
noise10,Disturbance,recov_ms,Recovery (ms),20,144213.8744,17919.45859695686,137826.634,17320.98366683723,-6387.240399999999,10323.288423450065,-4.429005479933219,%,lower
noise10,Disturbance,gate_cmp,Comparisons,20,2068341.3,19024.71159501989,2289230.55,62456.22988476347,220889.25,27557.096734139905,10.679535819354367,%,lower
noise10,Disturbance,gate_sw,Parent switches,20,69.4,10.023131142249753,79.0,12.843183733835339,9.6,3.5331541298481666,13.83285302593659,%,lower
noise10,Disturbance,control,Control messages,20,6505.85,38.87940193388836,6525.85,48.664560757128086,20.0,15.963696709458585,0.3074156336220478,%,lower
noise10,Root-Loss,pdr,PDR,20,0.74297205,0.01949022415003023,0.7484733,0.01999397651162392,0.005501250000000008,0.0065382602691579665,0.5501250000000013,pp,higher
noise10,Root-Loss,avg_delay_ms,Avg. delay (ms),20,191.37995,169.43631961128764,171.7784,99.38615603657439,-19.601549999999996,91.67260079458914,-10.242217118355398,%,lower
noise10,Root-Loss,p95_delay_ms,P95 delay (ms),20,174.472,20.462551119442303,184.1372,28.833388047083265,9.665199999999999,16.146179280040368,5.5396854509606115,%,lower
noise10,Root-Loss,recov_ms,Recovery (ms),20,194400.6984,28159.49288984603,191721.0264,22468.43156580857,-2679.672,14861.01024743479,-1.3784271466382714,%,lower
noise10,Root-Loss,gate_cmp,Comparisons,20,739669.1,33093.71781360196,755184.65,35231.42121560032,15515.55,21797.042590432207,2.0976339284688312,%,lower
noise10,Root-Loss,gate_sw,Parent switches,20,928.4,207.63084650661287,861.3,114.95999304105756,-67.1,100.05683049989246,-7.22748815165877,%,lower
noise10,Root-Loss,control,Control messages,20,7878.6,1340.858617296748,7430.55,595.7332920553945,-448.05,680.4007793768549,-5.686924072804815,%,lower
noise10,Local Failure,pdr,PDR,20,0.99313505,0.009249445391481606,0.9946851499999999,0.0074312435686307654,0.0015500999999999987,0.002056410110293443,0.15500999999998877,pp,higher
noise10,Local Failure,avg_delay_ms,Avg. delay (ms),20,124.7853,11.764842352937572,124.13185000000001,10.830306426510068,-0.6534500000000009,1.2798711807989855,-0.5236594374497575,%,lower
noise10,Local Failure,p95_delay_ms,P95 delay (ms),20,165.42440000000002,15.664897232515226,164.4824,15.604306039983763,-0.9419999999999981,3.817791803669816,-0.5694444108607963,%,lower
noise10,Local Failure,recov_ms,Recovery (ms),20,154278.27,35708.32618484089,142148.134,34642.49407314512,-12130.135999999999,19380.59068609223,-7.862504551029772,%,lower
noise10,Local Failure,gate_cmp,Comparisons,20,708180.8,11751.706391660298,730800.55,21241.61002539715,22619.75,9810.646217770987,3.194064284148906,%,lower
