scene,metric,metric_label,n_pairs,squared_etx_mean,squared_etx_sd,combined_mean,combined_sd,delta_vs_squared_etx,delta_unit,p_value
Temporary Root Displacement,pdr,PDR,20,0.99396305,1.8106337942372297e-05,0.99366555,0.0013449288173298126,-0.029749999999995058,pp,0.890625
Temporary Root Displacement,avg_delay_ms,Delay (ms),20,55.36965,7.359268236469967,51.782050000000005,9.437722436416642,-6.479361888688108,%,0.22341156005859375
Temporary Root Displacement,recov_ms,Recovery (ms),20,146841.08399999997,16516.20871781797,141480.6316,17252.291737692474,-3.650512686217967,%,0.35570716857910156
Temporary Root Displacement,gate_cmp,Comparisons,20,5156189.15,58154.267124311606,1754988.1,24624.344853481034,-65.9634654791514,%,1.9073486328125e-06
Temporary Root Displacement,gate_sw,Parent switches,20,79.95,12.542454221353045,66.05,12.067681938484336,-17.385866166353978,%,9.918212890625e-05
Root-Loss,pdr,PDR,20,0.74122375,0.012548810389728934,0.739324,0.010934594724518788,-0.18997499999999778,pp,0.53558349609375
Root-Loss,avg_delay_ms,Delay (ms),20,155.89245,118.77490188963367,150.20265,62.5876259472522,-3.649823965175986,%,0.7131443023681641
Root-Loss,recov_ms,Recovery (ms),20,185979.234,22102.28464703188,196187.2872,22530.11219230821,5.488813444623605,%,0.1970806121826172
Root-Loss,gate_cmp,Comparisons,20,1026315.4,69536.88110439175,442650.95,19177.19566918507,-56.86989106857404,%,1.9073486328125e-06
Root-Loss,gate_sw,Parent switches,20,746.95,125.3032006983986,822.05,208.16452880505742,10.054220496686513,%,0.23318099975585938
Local Failure,pdr,PDR,20,0.9923890500000001,0.007809054140951774,0.9916197999999999,0.0077775641809935524,-0.07692500000001656,pp,0.5
Local Failure,avg_delay_ms,Delay (ms),20,124.1635,12.063394204652441,124.80364999999999,12.040194360535619,0.5155701957499518,%,0.38704681396484375
Local Failure,recov_ms,Recovery (ms),20,154103.48200000002,32180.210525913626,145416.07,35866.48321860931,-5.637388517931094,%,0.3115272521972656
Local Failure,gate_cmp,Comparisons,20,1100768.75,30759.21527620454,510786.35,14387.161609811788,-53.59730642789414,%,1.9073486328125e-06
Local Failure,gate_sw,Parent switches,20,241.75,155.59389617306906,249.95,168.21742665841415,3.391933815925538,%,0.8888454437255859
