platform,group,scene,scale,seed,test_ok,metric_pdr,metric_avg_delay_ms,metric_recov_ms,metric_gate_cmp,metric_gate_sw
rpl-lite,Hard-Only,Disturbance,20,1,1,0.987879,46.781,145155.984,361324,21
rpl-lite,Hard-Only,Disturbance,20,2,1,0.987952,46.618,133694.984,360071,20
rpl-lite,Hard-Only,Disturbance,20,3,1,0.987952,49.410,135149.984,364904,28
rpl-lite,Hard-Only,Disturbance,20,4,1,0.987879,48.094,151705.984,377797,27
rpl-lite,Hard-Only,Disturbance,20,5,1,0.987879,49.036,124684.984,357762,24
rpl-lite,Hard-Only,Disturbance,20,6,1,0.987952,51.282,121557.984,365798,39
rpl-lite,Hard-Only,Disturbance,20,7,1,0.987879,48.315,156277.984,360431,21
rpl-lite,Hard-Only,Disturbance,20,8,1,0.987952,50.613,121625.984,360078,33
rpl-lite,Hard-Only,Disturbance,20,9,1,0.987952,48.949,123891.984,360193,20
rpl-lite,Hard-Only,Disturbance,20,10,1,0.987952,48.113,138419.984,362857,24
rpl-lite,Hard-Only,Disturbance,40,1,1,0.987952,48.193,164552.984,2075578,61
rpl-lite,Hard-Only,Disturbance,40,2,1,0.987952,47.637,133719.984,2069750,57
rpl-lite,Hard-Only,Disturbance,40,3,1,0.987952,47.746,175651.984,2071798,64
rpl-lite,Hard-Only,Disturbance,40,4,1,0.987952,46.043,163363.984,2083456,66
rpl-lite,Hard-Only,Disturbance,40,5,1,0.987952,46.904,160250.984,2071663,64
rpl-lite,Hard-Only,Disturbance,40,6,1,0.987879,50.716,176145.984,2141368,93
rpl-lite,Hard-Only,Disturbance,40,7,1,0.987879,52.741,173565.984,2082589,78
rpl-lite,Hard-Only,Disturbance,40,8,1,0.987952,49.508,137044.984,2083997,74
rpl-lite,Hard-Only,Disturbance,40,9,1,0.987879,46.410,124376.984,2089717,77
rpl-lite,Hard-Only,Disturbance,40,10,1,0.987952,49.557,163611.984,2088695,64
rpl-lite,Hard-Only,Root-Loss,20,1,1,0.830769,106.963,204285.984,139355,553
rpl-lite,Hard-Only,Root-Loss,20,2,1,0.815385,76.340,163504.984,125448,410
rpl-lite,Hard-Only,Root-Loss,20,3,1,0.727273,126.039,166202.984,133658,537
rpl-lite,Hard-Only,Root-Loss,20,4,1,0.753846,134.865,218010.984,120737,336
rpl-lite,Hard-Only,Root-Loss,20,5,1,0.742424,132.528,164286.984,136534,565
