platform,group,scene,scale,seed,test_ok,metric_pdr,metric_avg_delay_ms,metric_recov_ms,metric_gate_cmp,metric_gate_sw
rpl-lite,Hard-Only,Local Failure,20,1,1,0.984615,74.389,193417.984,102926,149
rpl-lite,Hard-Only,Local Failure,20,2,1,0.969231,87.013,196573.984,103811,388
rpl-lite,Hard-Only,Local Failure,20,3,1,1.000000,123.725,156458.984,102077,42
rpl-lite,Hard-Only,Local Failure,20,4,1,0.969697,121.338,188986.984,107665,406
rpl-lite,Hard-Only,Local Failure,20,5,1,0.969697,122.889,126226.984,102493,388
rpl-lite,Hard-Only,Local Failure,20,6,1,0.969231,126.426,82064.984,97601,49
rpl-lite,Hard-Only,Local Failure,20,7,1,0.984615,80.248,151732.984,106949,422
rpl-lite,Hard-Only,Local Failure,20,8,1,1.000000,120.664,138401.984,107897,426
rpl-lite,Hard-Only,Local Failure,20,9,1,1.000000,132.305,114355.984,106128,406
rpl-lite,Hard-Only,Local Failure,20,10,1,1.000000,129.059,183531.984,101301,51
rpl-lite,Hard-Only,Local Failure,40,1,1,1.000000,128.525,142718.984,723024,107
rpl-lite,Hard-Only,Local Failure,40,2,1,1.000000,130.846,180522.984,733868,115
rpl-lite,Hard-Only,Local Failure,40,3,1,1.000000,129.390,188922.984,740121,714
rpl-lite,Hard-Only,Local Failure,40,4,1,1.000000,128.751,181673.984,728744,137
rpl-lite,Hard-Only,Local Failure,40,5,1,1.000000,125.844,178452.984,727124,126
rpl-lite,Hard-Only,Local Failure,40,6,1,0.969697,127.356,190628.984,710672,125
rpl-lite,Hard-Only,Local Failure,40,7,1,0.984615,79.268,168652.984,716955,131
rpl-lite,Hard-Only,Local Failure,40,8,1,1.000000,120.016,144062.224,735454,701
rpl-lite,Hard-Only,Local Failure,40,9,1,1.000000,127.752,168501.984,709607,125
rpl-lite,Hard-Only,Local Failure,40,10,1,0.969231,127.070,186642.984,729749,722
rpl-lite,Hard-Only,Local Failure,60,1,1,0.969697,118.470,171096.984,2992493,199
rpl-lite,Hard-Only,Local Failure,60,2,1,0.969697,128.025,176090.984,2964945,179
rpl-lite,Hard-Only,Local Failure,60,3,1,0.969697,122.580,130807.984,2934832,322
rpl-lite,Hard-Only,Local Failure,60,4,1,0.969697,120.876,175652.984,3001536,189
rpl-lite,Hard-Only,Local Failure,60,5,1,0.969697,117.482,185186.984,3016172,765
rpl-lite,Hard-Only,Local Failure,60,6,1,0.969697,128.916,170921.984,2955241,547
rpl-lite,Hard-Only,Local Failure,60,7,1,0.969231,117.179,164742.984,2966969,190
rpl-lite,Hard-Only,Local Failure,60,8,1,0.969697,131.240,187263.984,2946859,173
rpl-lite,Hard-Only,Local Failure,60,9,1,0.969697,121.759,180039.984,2962404,177
rpl-lite,Hard-Only,Local Failure,60,10,1,0.969231,119.025,199292.984,2962231,156
