platform,group,scene,scale,seed,test_ok,metric_pdr,metric_avg_delay_ms,metric_recov_ms,metric_gate_cmp,metric_gate_sw
rpl-lite,Baseline,Local Failure,20,1,1,0.984848,72.633,193419.984,234220,394
rpl-lite,Baseline,Local Failure,20,2,1,0.969697,89.392,190801.984,227691,417
rpl-lite,Baseline,Local Failure,20,3,1,1.000000,126.687,149722.224,233625,289
rpl-lite,Baseline,Local Failure,20,4,1,0.969697,119.072,181786.984,233781,444
rpl-lite,Baseline,Local Failure,20,5,1,0.969697,122.792,126254.984,229934,334
rpl-lite,Baseline,Local Failure,20,6,1,0.969231,126.728,82057.984,221531,60
rpl-lite,Baseline,Local Failure,20,7,1,0.984848,81.856,179720.984,232520,380
rpl-lite,Baseline,Local Failure,20,8,1,1.000000,121.816,104870.984,235299,394
rpl-lite,Baseline,Local Failure,20,9,1,1.000000,129.217,81628.984,222313,59
rpl-lite,Baseline,Local Failure,20,10,1,1.000000,125.244,183506.984,225945,393
rpl-lite,Baseline,Local Failure,20,11,1,1.000000,127.754,94638.984,226259,387
rpl-lite,Baseline,Local Failure,20,12,1,0.984848,129.963,181309.984,230784,50
rpl-lite,Baseline,Local Failure,20,13,1,1.000000,125.963,148826.984,228534,395
rpl-lite,Baseline,Local Failure,20,14,1,0.969697,125.772,163346.984,229872,431
rpl-lite,Baseline,Local Failure,20,15,1,0.969697,131.643,169846.984,227512,91
rpl-lite,Baseline,Local Failure,20,16,1,1.000000,132.513,196645.984,228254,124
rpl-lite,Baseline,Local Failure,20,17,1,0.969697,128.842,184664.984,228336,217
rpl-lite,Baseline,Local Failure,20,18,1,1.000000,131.285,161620.984,236043,379
rpl-lite,Baseline,Local Failure,20,19,1,1.000000,124.722,105230.984,229460,403
rpl-lite,Baseline,Local Failure,20,20,1,0.969697,128.702,142965.984,229573,383
rpl-lite,Baseline,Local Failure,40,1,1,1.000000,129.934,154406.984,1790422,98
rpl-lite,Baseline,Local Failure,40,2,1,0.969231,134.399,130850.984,1799156,162
rpl-lite,Baseline,Local Failure,40,3,1,1.000000,127.443,156508.984,1805257,766
rpl-lite,Baseline,Local Failure,40,4,1,1.000000,127.179,148738.984,1787903,770
rpl-lite,Baseline,Local Failure,40,5,1,1.000000,125.437,145905.984,1728770,132
rpl-lite,Baseline,Local Failure,40,6,1,1.000000,122.333,176159.984,1798411,96
rpl-lite,Baseline,Local Failure,40,7,1,0.984615,76.666,190824.984,1777560,120
rpl-lite,Baseline,Local Failure,40,8,1,1.000000,116.402,157967.984,1745410,157
rpl-lite,Baseline,Local Failure,40,9,1,1.000000,127.494,174304.984,1787763,112
rpl-lite,Baseline,Local Failure,40,10,1,0.969231,127.606,145427.984,1772504,149
rpl-lite,Baseline,Local Failure,40,11,1,0.969697,125.760,162776.984,1783028,127
rpl-lite,Baseline,Local Failure,40,12,1,0.969697,124.018,144592.984,1813504,467
rpl-lite,Baseline,Local Failure,40,13,1,0.969697,126.853,121512.984,1760811,109
rpl-lite,Baseline,Local Failure,40,14,1,1.000000,125.670,148027.984,1781500,110
rpl-lite,Baseline,Local Failure,40,15,1,0.969697,132.088,109952.984,1780090,129
rpl-lite,Baseline,Local Failure,40,16,1,0.969697,124.741,82254.984,1805075,605
rpl-lite,Baseline,Local Failure,40,17,1,0.969697,126.006,184750.984,1745561,106
rpl-lite,Baseline,Local Failure,40,18,1,1.000000,129.236,113990.984,1780063,779
rpl-lite,Baseline,Local Failure,40,19,1,1.000000,120.428,169875.984,1773549,109
rpl-lite,Baseline,Local Failure,40,20,1,1.000000,131.486,169428.984,1772614,80
rpl-lite,Baseline,Local Failure,60,1,1,0.969697,120.756,144613.984,6931676,801
rpl-lite,Baseline,Local Failure,60,2,1,0.969697,121.330,179634.984,6773247,187
