platform,group,scene,scale,seed,test_ok,metric_pdr,metric_avg_delay_ms,metric_recov_ms,metric_gate_cmp,metric_gate_sw
rpl-lite,Baseline,Disturbance,20,1,1,0.987952,47.124,171585.984,1198315,23
rpl-lite,Baseline,Disturbance,20,2,1,0.987952,46.550,137508.984,1211363,31
rpl-lite,Baseline,Disturbance,20,3,1,0.987952,51.073,163736.984,1208313,31
rpl-lite,Baseline,Disturbance,20,4,1,0.987952,49.760,163372.984,1201174,23
rpl-lite,Baseline,Disturbance,20,5,1,0.981928,49.403,137919.984,1206381,35
rpl-lite,Baseline,Disturbance,20,6,1,0.987879,47.357,161641.984,1207986,33
rpl-lite,Baseline,Disturbance,20,7,1,0.987952,48.949,158889.176,1209798,45
rpl-lite,Baseline,Disturbance,20,8,1,0.987952,46.855,149582.936,1208472,30
rpl-lite,Baseline,Disturbance,20,9,1,0.987952,50.669,166219.984,1211027,37
rpl-lite,Baseline,Disturbance,20,10,1,0.987879,50.915,172942.984,1204393,33
rpl-lite,Baseline,Disturbance,20,11,1,0.987952,47.972,153038.984,1207888,28
rpl-lite,Baseline,Disturbance,20,12,1,0.987952,48.228,120994.984,1205573,25
rpl-lite,Baseline,Disturbance,20,13,1,0.987952,48.528,141004.984,1207237,33
rpl-lite,Baseline,Disturbance,20,14,1,0.987952,48.314,163726.984,1202732,29
rpl-lite,Baseline,Disturbance,20,15,1,0.987952,48.398,161143.984,1208246,31
rpl-lite,Baseline,Disturbance,20,16,1,0.987952,46.758,120950.984,1197385,23
rpl-lite,Baseline,Disturbance,20,17,1,0.987952,45.175,153256.984,1204090,24
rpl-lite,Baseline,Disturbance,20,18,1,0.987952,48.424,174537.984,1207597,31
rpl-lite,Baseline,Disturbance,20,19,1,0.987952,51.839,129767.984,1203907,30
rpl-lite,Baseline,Disturbance,20,20,1,0.987952,49.498,142494.984,1202106,23
rpl-lite,Baseline,Disturbance,40,1,1,0.987952,49.022,137424.984,6587189,83
